PositionGroup,Weather,Temperature,FieldType,StadiumType,Injured
DB,Sunny,19,Natural,Outdoor,0
OL,Cloudy,45,Synthetic,Outdoor,0
OL,Mostly Cloudy,87,Synthetic,Retractable Roof,0
WR,Sunny,60,Natural,Outdoor,0
DB,Cloudy,72,Natural,Outdoor,0
DL,Rain,42,Synthetic,Outdoors,0
LB,cloudy,66,Natural,Outdoor,0
DB,Controlled Climate,68,Synthetic,Indoors,0
WR,Clear,82,Natural,Outdoor,0
LB,Cloudy,48,Natural,Outdoor,0
DB,Cloudy,61,Natural,Outdoor,0
WR,Partly Cloudy,85,Synthetic,Retractable Roof,0
DB,cloudy,48,Natural,Outdoor,0
DB,Partly Cloudy,47,Synthetic,Outdoor,0
DB,Clear,82,Natural,Outdoor,0
DB,"Cloudy with periods of rain, thunder possible. Winds shifting to WNW, 10-20 mph.",70,Natural,Outdoor,0
OL,Clear,44,Natural,Outdoors,0
RB,Cloudy,42,Natural,Outdoors,0
DL,Mostly Cloudy,65,Synthetic,Outdoor,0
OL,Mostly Cloudy,87,Synthetic,Retractable Roof,0
DL,Clear,82,Natural,Dome,0
OL,Rain,52,Natural,Outdoor,0
OL,Clear,44,Natural,Outdoors,0
RB,Clear,69,Natural,Outdoor,0
RB,Sunny,68,Natural,Outdoor,0
WR,"Rain likely, temps in low 40s.",39,Natural,Outdoor,0
DL,Sunny,70,Natural,Outdoor,0
RB,"Cloudy, Rain",43,Natural,Outdoor,0
LB,Cloudy,77,Natural,Outdoor,0
LB,Sunny,72,Natural,Outdoor,0
DB,Sunny,38,Synthetic,Retr. Roof-Closed,0
DL,Cloudy,47,Synthetic,Outdoor,0
OL,Partly Cloudy,56,Natural,Outdoor,0
QB,Indoors,68,Synthetic,Domed,0
OL,Partly Cloudy,89,Natural,Outdoor,0
DB,Rain Chance 40%,97,Natural,Open,0
OL,Cloudy,47,Synthetic,Outdoor,0
WR,Cloudy,36,Natural,Outdoor,0
DB,Sunny,43,Synthetic,Outdoors,0
DL,Clear and warm,63,Synthetic,Outdoor,0
DL,Cloudy,72,Natural,Outdoor,0
DB,"Rain likely, temps in low 40s.",39,Natural,Outdoor,0
OL,Mostly cloudy,57,Synthetic,Retr. Roof - Closed,0
LB,Cloudy,68,Natural,Outdoor,0
QB,Partly Cloudy,50,Natural,Outside,0
WR,Sunny,57,Synthetic,Indoors,0
WR,Clear,71,Natural,Outdoor,0
OL,Partly Cloudy,64,Natural,Bowl,0
DL,Scattered Showers,89,Natural,Outdoor,0
WR,Cloudy,62,Synthetic,Outdoors,0
DL,Cloudy,39,Natural,Outdoors,0
OL,Mostly Sunny,87,Synthetic,Outdoor,0
DB,Sunny,67,Natural,Outdoors,0
LB,Partly Cloudy,79,Synthetic,Indoors,0
LB,Sunny,64,Natural,Outdoor,0
LB,"Cloudy, Rain",43,Natural,Outdoor,0
